iter	Passed	Remaining
686	57379	26142
687	57473	26063
688	57573	25987
689	57666	25907
690	57760	25829
691	57854	25750
692	57943	25669
693	58033	25588
694	58122	25507
695	58209	25424
696	58303	25345
697	58394	25265
698	58486	25185
699	58578	25105
700	58668	25023
701	58754	24941
702	58824	24852
703	58911	24769
704	59003	24689
705	59095	24609
706	59181	24526
707	59269	24444
708	59357	24362
709	59451	24282
710	59546	24203
711	59640	24124
712	59732	24043
713	59830	23965
714	59947	23895
715	60036	23813
716	60126	23731
717	60219	23651
718	60314	23572
719	60410	23493
720	60505	23413
721	60595	23331
722	60687	23251
723	60777	23169
724	60873	23089
725	60965	23008
726	61056	22927
727	61166	22853
728	61256	22771
729	61347	22690
730	61440	22609
731	61535	22529
732	61626	22447
733	61718	22366
734	61807	22284
735	61901	22203
736	61990	22121
737	62081	22039
738	62171	21957
739	62258	21874
740	62356	21795
741	62455	21716
742	62545	21634
743	62637	21552
744	62730	21471
745	62819	21388
746	62914	21308
747	63003	21225
748	63085	21140
749	63168	21056
750	63259	20974
751	63350	20892
752	63437	20808
753	63529	20727
754	63624	20646
755	63715	20564
756	63815	20484
757	63909	20403
758	64005	20323
759	64099	20241
760	64188	20159
761	64284	20078
762	64377	19996
763	64468	19914
764	64558	19831
765	64652	19750
766	64747	19669
767	64844	19588
768	64935	19506
769	65021	19421
770	65108	19338
771	65197	19255
772	65289	19172
773	65378	19089
774	65471	19007
775	65560	18924
776	65647	18840
777	65734	18757
778	65830	18675
779	65924	18593
780	66014	18511
781	66109	18429
782	66202	18347
783	66295	18265
784	66384	18181
785	66478	18099
786	66577	18019
787	66671	17936
788	66765	17854
789	66858	17772
790	66954	17690
791	67059	17611
792	67159	17530
793	67261	17450
794	67357	17368
795	67454	17287
796	67545	17204
797	67631	17119
798	67724	17037
799	67812	16953
800	67899	16869
801	67990	16785
802	68081	16702
803	68172	16619
804	68266	16536
805	68360	16453
806	68456	16371
807	68545	16287
808	68631	16203
809	68721	16119
810	68814	16036
811	68907	15954
812	69001	15871
813	69089	15787
814	69181	15703
815	69271	15620
816	69363	15536
817	69455	15453
818	69549	15370
819	69642	15287
820	69735	15204
821	69852	15126
822	69949	15043
823	70037	14959
824	70131	14876
825	70225	14793
826	70317	14709
827	70406	14625
828	70496	14541
829	70583	14456
830	70673	14372
831	70764	14289
832	70858	14205
833	70947	14121
834	71048	14039
835	71146	13956
836	71234	13872
837	71329	13789
838	71423	13705
839	71517	13622
840	71614	13539
841	71710	13456
842	71806	13373
843	71893	13288
844	71991	13205
845	72080	13121
846	72172	13037
847	72261	12952
848	72352	12868
849	72453	12785
850	72552	12703
851	72644	12619
852	72734	12534
853	72824	12450
854	72913	12365
855	73004	12281
856	73095	12196
857	73186	12112
858	73290	12030
859	73383	11946
860	73481	11862
861	73574	11778
862	73666	11694
863	73756	11609
864	73846	11525
865	73930	11439
866	74021	11355
867	74110	11270
868	74200	11185
869	74298	11102
870	74387	11017
871	74486	10933
872	74573	10848
873	74660	10763
874	74748	10678
875	74840	10593
876	74929	10508
877	75019	10424
878	75105	10338
879	75200	10254
880	75296	10170
881	75398	10087
882	75492	10002
883	75592	9919
884	75687	9835
885	75786	9751
886	75877	9666
887	75974	9582
888	76067	9497
889	76167	9414
890	76263	9329
891	76375	9247
892	76484	9164
893	76595	9081
894	76718	9000
895	76840	8919
896	76981	8839
897	77082	8755
898	77211	8674
899	77296	8588
900	77393	8503
901	77483	8418
902	77569	8332
903	77662	8247
904	77751	8161
905	77843	8076
906	77935	7991
907	78024	7905
908	78112	7819
909	78206	7734
910	78295	7649
911	78393	7564
912	78489	7479
913	78579	7393
914	78668	7308
915	78758	7222
916	78847	7136
917	78936	7050
918	79022	6964
919	79114	6879
920	79210	6794
921	79296	6708
922	79390	6623
923	79481	6537
924	79571	6451
925	79664	6366
926	79753	6280
927	79844	6194
928	79938	6109
929	80029	6023
930	80118	5937
931	80211	5852
932	80301	5766
933	80394	5680
934	80485	5595
935	80579	5509
936	80706	5426
937	80803	5340
938	80896	5255
939	80993	5169
940	81083	5083
941	81180	4998
942	81274	4912
943	81363	4826
944	81449	4740
945	81537	4654
946	81628	4568
947	81721	4482
948	81809	4396
949	81897	4310
950	81986	4224
951	82077	4138
952	82168	4052
953	82253	3966
954	82349	3880
955	82439	3794
956	82528	3708
957	82612	3621
958	82709	3536
959	82801	3450
960	82895	3364
961	82990	3278
962	83082	3192
963	83172	3106
964	83264	3019
965	83356	2933
966	83448	2847
967	83536	2761
968	83623	2675
969	83714	2589
970	83809	2503
971	83903	2416
972	83994	2330
973	84087	2244
974	84177	2158
975	84267	2072
976	84360	1985
977	84457	1899
978	84515	1812
979	84607	1726
980	84697	1640
981	84786	1554
982	84879	1467
983	84973	1381
984	85068	1295
985	85160	1209
986	85250	1122
987	85339	1036
988	85425	950
989	85520	863
990	85614	777
991	85703	691
992	85794	604
993	85881	518
994	85974	432
995	86061	345
996	86153	259
997	86248	172
998	86340	86
999	86432	0
